chrom	class	prop
1	hard	0.005761317
1	linkedHard	0.088065844
1	linkedSoft	0.491358025
1	neut	0.308641975
1	soft	0.10617284
2	hard	0.006516588
2	linkedHard	0.061611374
2	linkedSoft	0.470379147
2	neut	0.368483412
2	soft	0.093009479
3	hard	0.010447761
3	linkedHard	0.092537313
3	linkedSoft	0.470895522
3	neut	0.326865672
3	soft	0.099253731
4	hard	0.005555556
4	linkedHard	0.08968254
4	linkedSoft	0.453174603
4	neut	0.35
4	soft	0.101587302
5	hard	0.003656307
5	linkedHard	0.074954296
5	linkedSoft	0.501828154
5	neut	0.323583181
5	soft	0.095978062
6	hard	0.00428449
6	linkedHard	0.059125964
6	linkedSoft	0.46958012
6	neut	0.36503856
6	soft	0.101970865
7	hard	0.005121639
7	linkedHard	0.051216389
7	linkedSoft	0.451984635
7	neut	0.398207426
7	soft	0.09346991
8	hard	0.007992008
8	linkedHard	0.073926074
8	linkedSoft	0.41958042
8	neut	0.398601399
8	soft	0.0999001
9	hard	0.009419152
9	linkedHard	0.070643642
9	linkedSoft	0.422291994
9	neut	0.412872841
9	soft	0.08477237
10	hard	0.005188067
10	linkedHard	0.064850843
10	linkedSoft	0.464332036
10	neut	0.381322957
10	soft	0.084306096
11	hard	0.006793478
11	linkedHard	0.059782609
11	linkedSoft	0.504076087
11	neut	0.320652174
11	soft	0.108695652
12	hard	0.00996264
12	linkedHard	0.097135741
12	linkedSoft	0.510585305
12	neut	0.287671233
12	soft	0.094645081
13	hard	0.004497751
13	linkedHard	0.043478261
13	linkedSoft	0.473763118
13	neut	0.371814093
13	soft	0.106446777
14	hard	0.016605166
14	linkedHard	0.092250923
14	linkedSoft	0.498154982
14	neut	0.284132841
14	soft	0.108856089
15	hard	0.02
15	linkedHard	0.1625
15	linkedSoft	0.47
15	neut	0.2525
15	soft	0.095
16	hard	0.010958904
16	linkedHard	0.082191781
16	linkedSoft	0.380821918
16	neut	0.435616438
16	soft	0.090410959
17	hard	0.005698006
17	linkedHard	0.07977208
17	linkedSoft	0.47008547
17	neut	0.324786325
17	soft	0.11965812
18	hard	0.001862197
18	linkedHard	0.059590317
18	linkedSoft	0.512104283
18	neut	0.333333333
18	soft	0.09310987
19	linkedHard	0.051724138
19	linkedSoft	0.568965517
19	neut	0.25862069
19	soft	0.120689655
20	linkedHard	0.070769231
20	linkedSoft	0.556923077
20	neut	0.276923077
20	soft	0.095384615
21	linkedHard	0.065420561
21	linkedSoft	0.523364486
21	neut	0.317757009
21	soft	0.093457944
22	linkedHard	0.123893805
22	linkedSoft	0.362831858
22	neut	0.433628319
22	soft	0.079646018
