chrom	class	prop
1	linked	0.36934563021519545
2	linked	0.4123797574236721
3	linked	0.42183495643259866
4	linked	0.39798087141339
5	linked	0.4024732996065205
6	linked	0.4005952380952381
7	linked	0.4420985284708893
8	linked	0.4456066945606695
9	linked	0.41345365053322397
10	linked	0.44452830188679243
11	linked	0.3902809415337889
12	linked	0.41603053435114506
13	linked	0.35625
14	linked	0.4269535673839185
15	linked	0.46228710462287104
16	linked	0.47540983606557374
17	linked	0.4559386973180077
18	linked	0.36666666666666664
19	linked	0.49732620320855614
20	linked	0.44574290484140233
21	linked	0.44537815126050423
22	linked	0.4943181818181818
1	neutral	0.5393061045234958
2	neutral	0.49769970723546636
3	neutral	0.48180420297283444
4	neutral	0.5116896918172157
5	neutral	0.5019673974142776
6	neutral	0.5011904761904762
7	neutral	0.4600127959053103
8	neutral	0.45536959553695955
9	neutral	0.4971287940935193
10	neutral	0.45358490566037735
11	neutral	0.5056947608200456
12	neutral	0.4908396946564885
13	neutral	0.5583333333333333
14	neutral	0.4711211778029445
15	neutral	0.4391727493917275
16	neutral	0.4224464060529634
17	neutral	0.4329501915708812
18	neutral	0.5426666666666666
19	neutral	0.38146167557932265
20	neutral	0.44407345575959933
21	neutral	0.453781512605042
22	neutral	0.39204545454545453
1	sweep	0.09134826526130874
2	sweep	0.08992053534086157
3	sweep	0.096360840594566885
4	sweep	0.09032943676939426
5	sweep	0.0955593029792018
6	sweep	0.09821428571428571
7	sweep	0.09788867562380038
8	sweep	0.09902370990237098
9	sweep	0.08941755537325677
10	sweep	0.1018867924528302
11	sweep	0.10402429764616553
12	sweep	0.09312977099236641
13	sweep	0.08541666666666667
14	sweep	0.10192525481313704
15	sweep	0.09854014598540146
16	sweep	0.1021437578814628
17	sweep	0.1111111111111111
18	sweep	0.09066666666666667
19	sweep	0.12121212121212122
20	sweep	0.11018363939899833
21	sweep	0.10084033613445378
22	sweep	0.11363636363636363
