chrom	class	prop
1	hard	0.0049382716
1	linkedHard	0.0255144033
1	linkedSoft	0.6485596708
1	neut	0.2304526749
1	soft	0.0905349794
2	hard	0.0011848341
2	linkedHard	0.0165876777
2	linkedSoft	0.6167061611
2	neut	0.2938388626
2	soft	0.0716824645
3	hard	0.0007462687
3	linkedHard	0.0223880597
3	linkedSoft	0.6149253731
3	neut	0.2820895522
3	soft	0.0798507463
4	hard	0.0023809524
4	linkedHard	0.0198412698
4	linkedSoft	0.6325396825
4	neut	0.2753968254
4	soft	0.0698412698
5	hard	0.0009140768
5	linkedHard	0.0091407678
5	linkedSoft	0.6297989031
5	neut	0.2952468007
5	soft	0.0648994516
6	hard	0.0025706941
6	linkedHard	0.0162810626
6	linkedSoft	0.5784061697
6	neut	0.3213367609
6	soft	0.0814053128
7	linkedHard	0.019206146
7	linkedSoft	0.5864276569
7	neut	0.3418693982
7	soft	0.052496799
8	linkedHard	0.006993007
8	linkedSoft	0.5744255744
8	neut	0.3406593407
8	soft	0.0779220779
9	hard	0.0094191523
9	linkedHard	0.0470957614
9	linkedSoft	0.6091051805
9	neut	0.2558869702
9	soft	0.0784929356
10	linkedHard	0.0259403372
10	linkedSoft	0.6018158236
10	neut	0.2892347601
10	soft	0.0830090791
11	hard	0.0013586957
11	linkedHard	0.0230978261
11	linkedSoft	0.6277173913
11	neut	0.2581521739
11	soft	0.089673913
12	linkedHard	0.0261519303
12	linkedSoft	0.6114570361
12	neut	0.2777085928
12	soft	0.0846824408
13	linkedHard	0.011994003
13	linkedSoft	0.6656671664
13	neut	0.2413793103
13	soft	0.0809595202
14	hard	0.0055350554
14	linkedHard	0.0387453875
14	linkedSoft	0.6254612546
14	neut	0.2306273063
14	soft	0.0996309963
15	hard	0.0025
15	linkedHard	0.02
15	linkedSoft	0.7175
15	neut	0.17
15	soft	0.09
16	linkedHard	0.0246575342
16	linkedSoft	0.5150684932
16	neut	0.3506849315
16	soft	0.1095890411
17	linkedHard	0.0284900285
17	linkedSoft	0.6923076923
17	neut	0.1680911681
17	soft	0.1111111111
18	linkedHard	0.0111731844
18	linkedSoft	0.6182495345
18	neut	0.2923649907
18	soft	0.0782122905
19	hard	0.0172413793
19	linkedHard	0.0517241379
19	linkedSoft	0.4482758621
19	neut	0.4482758621
19	soft	0.0344827586
20	linkedHard	0.0276923077
20	linkedSoft	0.6923076923
20	neut	0.1938461538
20	soft	0.0861538462
21	hard	0.0046728972
21	linkedHard	0.0046728972
21	linkedSoft	0.6261682243
21	neut	0.2803738318
21	soft	0.0841121495
22	linkedHard	0.185840708
22	linkedSoft	0.4247787611
22	neut	0.2831858407
22	soft	0.1061946903
