chrom	class	prop
1	linked	0.4931927975406236
2	linked	0.5031367628607277
3	linked	0.4725781650435674
4	linked	0.5031880977683315
5	linked	0.47667228780213605
6	linked	0.4238095238095238
7	linked	0.5009596928982726
8	linked	0.4825662482566248
9	linked	0.5701394585726005
10	linked	0.4981132075471698
11	linked	0.48899012908124523
12	linked	0.5015267175572519
13	linked	0.4739583333333333
14	linked	0.49150622876557193
15	linked	0.5145985401459854
16	linked	0.5409836065573771
17	linked	0.5057471264367817
18	linked	0.4573333333333333
19	linked	0.5721925133689839
20	linked	0.5075125208681135
21	linked	0.5406162464985994
22	linked	0.5482954545454546
1	neutral	0.40711462450592883
2	neutral	0.39104976997072355
3	neutral	0.4284982060481804
4	neutral	0.39054197662061635
5	neutral	0.4204609331084879
6	neutral	0.46726190476190477
7	neutral	0.3909149072296865
8	neutral	0.4121338912133891
9	neutral	0.3388022969647252
10	neutral	0.39773584905660375
11	neutral	0.39939255884586183
12	neutral	0.3938931297709924
13	neutral	0.415625
14	neutral	0.40770101925254815
15	neutral	0.38686131386861317
16	neutral	0.3505674653215637
17	neutral	0.3818646232439336
18	neutral	0.44133333333333336
19	neutral	0.3155080213903743
20	neutral	0.3772954924874791
21	neutral	0.3333333333333333
22	neutral	0.3352272727272727
1	sweep	0.09969257795344752
2	sweep	0.10581346716854872
3	sweep	0.09892362890825218
4	sweep	0.10626992561105207
5	sweep	0.10286677908937605
6	sweep	0.10892857142857143
7	sweep	0.10812539987204095
8	sweep	0.10529986052998605
9	sweep	0.09105824446267433
10	sweep	0.10415094339622641
11	sweep	0.11161731207289294
12	sweep	0.10458015267175573
13	sweep	0.11041666666666666
14	sweep	0.10079275198187995
15	sweep	0.09854014598540146
16	sweep	0.10844892812105927
17	sweep	0.1123882503192848
18	sweep	0.10133333333333333
19	sweep	0.11229946524064172
20	sweep	0.11519198664440734
21	sweep	0.12605042016806722
22	sweep	0.11647727272727272
